model,idle_gpu_w,load_gpu_mean_w,load_gpu_peak_w,delta_w,total_gpu_energy_j,energy_per_prompt_j,mean_duration_ms,mean_tokens_per_sec,n_prompts_measured,j_per_token,j_per_out_token
deepseek-r1:1.5b (off),17.46,91.78,123.99,74.32,7061.38,156.92,1509.0,213.5,45,0.5655,0.6107
deepseek-r1:1.5b (on),26.11,114.35,128.85,88.23,27957.05,621.27,5317.0,209.7,45,0.6513,0.6627
deepseek-r1:7b (off),16.82,117.52,138.7,100.69,33648.02,747.73,5714.0,57.9,45,2.2851,2.4381
deepseek-r1:7b (on),17.28,129.93,139.56,112.65,82741.93,1838.71,13672.0,57.6,45,2.4208,2.4746
gemma2:2b,23.63,90.12,115.16,66.49,14245.15,316.56,3022.0,131.2,45,0.9073,0.9694
gemma3:1b,12.99,80.84,108.6,67.85,12029.87,267.33,2896.0,206.8,45,0.5136,0.5365
gemma3:4b,15.68,103.65,130.52,87.96,37437.95,831.95,7084.0,81.2,45,1.4688,1.5289
gemma4:e2b (off),12.55,95.67,122.84,83.13,24269.61,539.32,4794.0,129.0,45,0.9531,0.9921
gemma4:e2b (on),16.08,109.53,123.68,93.45,40870.86,908.24,7850.0,126.6,45,0.9715,1.0028
granite3.1-dense:2b,15.24,110.56,129.31,95.31,16267.31,361.5,3035.0,135.9,45,0.8074,0.9279
llama3.2:1b,25.23,82.86,109.32,57.63,8863.37,196.96,2064.0,173.9,45,0.5748,0.6468
llama3.2:3b,16.7,104.24,132.98,87.54,16261.87,361.37,3094.0,112.9,45,1.0679,1.2035
mistral:7b,16.19,122.51,139.07,106.31,34145.54,758.79,5793.0,57.1,45,2.2323,2.3601
phi3:mini,14.79,113.94,124.4,99.15,24066.39,534.81,4562.0,103.4,45,1.1352,1.1955
phi4-mini:3.8b,12.53,100.28,136.44,87.75,11635.72,277.04,2308.0,93.7,42,1.3408,1.4496
qwen2.5:0.5b,18.25,63.47,100.7,45.23,4436.1,98.58,1447.0,329.0,45,0.2456,0.2747
qwen2.5:3b,18.91,105.56,132.87,86.65,16985.54,377.46,3147.0,115.4,45,1.0358,1.1727
qwen2.5:7b,19.92,118.65,138.68,98.73,36937.96,820.84,6249.0,57.5,45,2.1963,2.4784
qwen3.5:0.8b (off),19.95,86.24,101.56,66.29,14369.12,319.31,3430.0,169.6,45,0.592,0.6214
qwen3.5:0.8b (on),22.54,97.94,107.06,75.4,96499.2,2244.17,22394.0,171.4,43,0.6355,0.6398
qwen3.5:4b (off),12.34,113.78,128.7,101.43,39543.22,878.74,7239.0,69.3,45,1.77,1.866
qwen3.5:4b (on),18.06,123.93,134.51,105.88,154369.33,3589.98,28587.0,67.5,43,1.9163,1.9403
tinyllama:1.1b,16.82,83.63,118.9,66.81,4959.52,110.21,1153.0,325.1,45,0.2824,0.3234
