t_mono,wall_ts,model,phase,gpu_w,gpu_temp_c,cpu_temp_c,cpu_pct,reasoning_mode
10477.939,,gemma3:1b,idle,18.75,49.0,,,n/a
10478.465,,gemma3:1b,idle,14.54,49.0,,,n/a
10478.987,,gemma3:1b,idle,14.16,49.0,,,n/a
10479.513,,gemma3:1b,idle,13.48,49.0,,,n/a
10480.039,,gemma3:1b,idle,13.40,49.0,,,n/a
10480.563,,gemma3:1b,idle,12.87,49.0,,,n/a
10481.087,,gemma3:1b,idle,12.52,49.0,,,n/a
10481.612,,gemma3:1b,idle,12.50,49.0,,,n/a
10482.151,,gemma3:1b,idle,12.40,49.0,,,n/a
10482.673,,gemma3:1b,idle,12.57,49.0,,,n/a
10483.196,,gemma3:1b,idle,12.23,49.0,,,n/a
10483.720,,gemma3:1b,idle,12.41,49.0,,,n/a
10484.245,,gemma3:1b,idle,12.54,49.0,,,n/a
10484.769,,gemma3:1b,idle,12.19,49.0,,,n/a
10485.293,,gemma3:1b,idle,12.42,49.0,,,n/a
10485.816,,gemma3:1b,idle,12.43,49.0,,,n/a
10486.342,,gemma3:1b,idle,12.24,49.0,,,n/a
10486.867,,gemma3:1b,idle,12.21,49.0,,,n/a
10487.391,,gemma3:1b,idle,12.10,49.0,,,n/a
10487.918,,gemma3:1b,idle,11.92,49.0,,,n/a
10488.460,,gemma3:1b,run1_p0,11.85,49.0,,,n/a
10488.992,,gemma3:1b,run1_p0,13.89,49.0,,,n/a
10489.524,,gemma3:1b,run1_p1,33.57,55.0,,,n/a
10490.048,,gemma3:1b,run1_p2,61.05,52.0,,,n/a
10490.581,,gemma3:1b,run1_p3,67.94,54.0,,,n/a
10491.117,,gemma3:1b,run1_p4,60.63,53.0,,,n/a
10491.642,,gemma3:1b,run1_p4,65.89,53.0,,,n/a
10492.170,,gemma3:1b,run1_p5,59.59,59.0,,,n/a
10492.757,,gemma3:1b,run1_p6,57.74,56.0,,,n/a
10493.283,,gemma3:1b,run1_p6,75.65,61.0,,,n/a
10493.805,,gemma3:1b,run1_p6,90.06,62.0,,,n/a
10494.337,,gemma3:1b,run1_p6,105.89,63.0,,,n/a
10494.880,,gemma3:1b,run1_p6,106.57,63.0,,,n/a
10495.403,,gemma3:1b,run1_p6,107.20,63.0,,,n/a
10495.930,,gemma3:1b,run1_p6,106.96,63.0,,,n/a
10496.453,,gemma3:1b,run1_p6,107.03,64.0,,,n/a
10496.977,,gemma3:1b,run1_p6,106.93,64.0,,,n/a
10497.522,,gemma3:1b,run1_p7,76.31,57.0,,,n/a
10498.045,,gemma3:1b,run1_p7,66.64,55.0,,,n/a
10498.568,,gemma3:1b,run1_p7,90.70,63.0,,,n/a
10499.092,,gemma3:1b,run1_p7,105.61,63.0,,,n/a
10499.614,,gemma3:1b,run1_p7,106.10,64.0,,,n/a
10500.138,,gemma3:1b,run1_p7,107.54,64.0,,,n/a
10500.662,,gemma3:1b,run1_p7,107.60,64.0,,,n/a
10501.187,,gemma3:1b,run1_p7,108.23,64.0,,,n/a
10501.711,,gemma3:1b,run1_p7,107.86,65.0,,,n/a
10502.233,,gemma3:1b,run1_p7,107.61,65.0,,,n/a
10502.758,,gemma3:1b,run1_p8,90.84,57.0,,,n/a
10503.285,,gemma3:1b,run1_p8,75.88,63.0,,,n/a
10503.810,,gemma3:1b,run1_p8,93.07,64.0,,,n/a
10504.334,,gemma3:1b,run1_p8,108.00,64.0,,,n/a
10504.856,,gemma3:1b,run1_p8,108.51,64.0,,,n/a
10505.381,,gemma3:1b,run1_p8,108.32,65.0,,,n/a
10505.911,,gemma3:1b,run1_p8,108.11,64.0,,,n/a
10506.434,,gemma3:1b,run1_p8,107.74,64.0,,,n/a
10506.959,,gemma3:1b,run1_p8,108.31,64.0,,,n/a
10507.487,,gemma3:1b,run1_p8,108.60,64.0,,,n/a
10508.010,,gemma3:1b,run1_p8,107.14,64.0,,,n/a
10508.542,,gemma3:1b,run1_p9,92.51,63.0,,,n/a
10509.073,,gemma3:1b,run1_p9,82.69,56.0,,,n/a
10509.602,,gemma3:1b,run1_p10,83.06,63.0,,,n/a
10510.130,,gemma3:1b,run1_p10,84.81,56.0,,,n/a
10510.661,,gemma3:1b,run1_p10,92.24,63.0,,,n/a
10511.184,,gemma3:1b,run1_p10,107.44,63.0,,,n/a
10511.709,,gemma3:1b,run1_p10,108.27,63.0,,,n/a
10512.234,,gemma3:1b,run1_p10,107.76,63.0,,,n/a
10512.792,,gemma3:1b,run1_p10,107.45,63.0,,,n/a
10513.314,,gemma3:1b,run1_p10,108.53,63.0,,,n/a
10513.842,,gemma3:1b,run1_p10,108.43,63.0,,,n/a
10514.369,,gemma3:1b,run1_p11,91.66,63.0,,,n/a
10514.893,,gemma3:1b,run1_p11,80.49,54.0,,,n/a
10515.416,,gemma3:1b,run1_p11,90.76,62.0,,,n/a
10515.939,,gemma3:1b,run1_p11,107.18,63.0,,,n/a
10516.463,,gemma3:1b,run1_p11,107.24,63.0,,,n/a
10516.985,,gemma3:1b,run1_p11,106.48,61.0,,,n/a
10517.509,,gemma3:1b,run1_p11,105.87,62.0,,,n/a
10518.035,,gemma3:1b,run1_p11,105.10,62.0,,,n/a
10518.563,,gemma3:1b,run1_p11,104.50,62.0,,,n/a
10519.090,,gemma3:1b,run1_p11,105.14,62.0,,,n/a
10519.615,,gemma3:1b,run1_p11,105.50,62.0,,,n/a
10520.144,,gemma3:1b,run1_p11,103.89,62.0,,,n/a
